"","x"
"1788","L"
"1789","W"
"1790","W"
"1791","L"
"1792","D"
"1793","W"
"1794","W"
"1795","W"
"1796","L"
"1797","D"
"1798","D"
"1799","D"
"1800","L"
"1801","W"
"1802","L"
"1803","D"
"1804","D"
"1805","W"
"1806","L"
"1807","D"
"1808","W"
"1809","L"
"1810","W"
"1811","W"
"1812","L"
"1813","L"
"1814","W"
"1815","L"
"1816","D"
"1817","L"
"1818","W"
"1819","W"
"1820","L"
"1821","L"
"1822","W"
"1823","W"
"1824","L"
"1825","D"
"1826","W"
"1827","L"
"1828","W"
"1829","L"
"1830","W"
"1831","L"
"1832","L"
"1833","L"
"1834","L"
"1835","W"
"1836","D"
"1837","L"
"1838","L"
"1839","W"
"1840","D"
"1841","L"
"1842","W"
"1843","W"
"1844","D"
"1845","D"
"1846","W"
"1847","L"
"1848","L"
"1849","D"
"1850","L"
"1851","W"
"1852","D"
"1853","D"
"1854","L"
"1855","L"
"1856","L"
"1857","L"
"1858","L"
"1859","L"
"1860","W"
"1861","W"
"1862","D"
"1863","D"
"1864","D"
"1865","D"
"1866","W"
"1867","L"
"1868","W"
"1869","W"
"1870","W"
"1871","L"
"1872","L"
"1873","D"
"1874","W"
"1875","D"
"1876","D"
"1877","W"
"1878","L"
"1879","W"
"1880","D"
"1881","L"
"1882","D"
"1883","L"
"1884","W"
"1885","D"
"1886","L"
"1887","W"
"1888","L"
"1889","W"
"1890","L"
"1891","W"
"1892","W"
"1893","L"
"1894","W"
"1895","D"
"1896","L"
"1897","L"
"1898","D"
"1899","W"
"1900","D"
"1901","W"
"1902","D"
"1903","L"
"1904","W"
"1905","L"
"1906","L"
"1907","D"
"1908","L"
"1909","L"
"1910","W"
"1911","L"
"1912","W"
"1913","W"
"1914","D"
"1915","L"
"1916","W"
"1917","L"
"1918","L"
"1919","D"
"1920","D"
"1921","L"
"1922","L"
"1923","W"
"1924","L"
"1925","D"
"1926","D"
"1927","L"
"1928","W"
"1929","W"
"1930","L"
"1931","D"
"1932","W"
"1933","L"
"1934","L"
"1935","D"
"1936","D"
"1937","L"
"1938","D"
"1939","W"
"1940","W"
"1941","D"
"1942","L"
"1943","L"
"1944","L"
"1945","D"
"1946","W"
"1947","D"
"1948","D"
"1949","L"
"1950","D"
"1951","W"
"1952","D"
"1953","L"
"1954","W"
"1955","D"
"1956","D"
"1957","D"
"1958","L"
"1959","W"
"1960","D"
"1961","W"
"1962","L"
"1963","D"
"1964","D"
"1965","D"
"1966","L"
"1967","W"
"1968","L"
"1969","L"
"1970","W"
"1971","L"
"1972","L"
"1973","L"
"1974","L"
"1975","L"
"1976","W"
"1977","L"
"1978","L"
"1979","L"
"1980","W"
"1981","D"
"1982","D"
"1983","W"
"1984","L"
"1985","W"
"1986","W"
"1987","D"
"1988","D"
"1989","L"
"1990","L"
"1991","L"
"1992","L"
"1993","D"
"1994","W"
"1995","D"
"1996","L"
"1997","L"
"1998","W"
"1999","L"
"2000","L"
"2001","D"
"2002","D"
"2003","D"
"2004","L"
"2005","W"
"2006","L"
"2007","L"
"2008","W"
"2009","W"
"2010","L"
"2011","L"
"2012","L"
"2013","D"
"2014","L"
"2015","L"
"2016","W"
"2017","L"
"2018","W"
"2019","L"
"2020","L"
"2021","D"
"2022","D"
"2023","L"
"2024","L"
"2025","W"
"2026","D"
"2027","D"
"2028","W"
"2029","L"
"2030","D"
"2031","W"
"2032","L"
"2033","D"
"2034","L"
"2035","W"
"2036","D"
"2037","L"
"2038","L"
"2039","D"
"2040","L"
"2041","W"
"2042","D"
"2043","L"
"2044","W"
"2045","D"
"2046","W"
"2047","W"
"2048","W"
"2049","D"
"2050","D"
"2051","L"
"2052","L"
"2053","L"
"2054","L"
"2055","L"
"2056","L"
"2057","L"
"2058","D"
"2059","W"
"2060","D"
"2061","W"
"2062","W"
"2063","W"
"2064","D"
"2065","W"
"2066","L"
"2067","D"
"2068","L"
"2069","L"
"2070","D"
"2071","L"
"2072","L"
"2073","L"
"2074","L"
"2075","W"
"2076","W"
"2077","L"
"2078","L"
"2079","L"
"2080","L"
"2081","W"
"2082","L"
"2083","D"
"2084","L"
"2085","L"
"2086","L"
"2087","W"
"2088","D"
"2089","W"
"2090","L"
"2091","L"
"2092","D"
"2093","L"
"2094","L"
"2095","W"
"2096","L"
"2097","D"
"2098","L"
"2099","L"
"2100","W"
"2101","D"
"2102","D"
"2103","L"
"2104","D"
"2105","L"
"2106","L"
"2107","L"
"2108","L"
"2109","W"
"2110","D"
"2111","L"
"2112","W"
"2113","D"
"2114","D"
"2115","D"
"2116","L"
"2117","W"
"2118","W"
"2119","D"
"2120","L"
"2121","L"
"2122","W"
"2123","W"
"2124","D"
"2125","D"
"2126","L"
"2127","D"
"2128","D"
"2129","L"
"2130","L"
"2131","L"
"2132","L"
"2133","W"
"2134","D"
"2135","W"
"2136","D"
"2137","L"
"2138","L"
"2139","D"
